Id;Team;IdActivity;IdEvent;IdLocation;IdStudent;MatchValue
81280;58;3;1076;13;1149;0
81281;58;3;1076;13;1195;0
81285;36;5;1076;61;1182;2240
81295;173;21;1076;60;1188;861
81296;173;21;1076;60;1204;861
81308;17;18;1076;1;1189;1330
81310;59;14;1076;22;1168;0
81326;27;4;1076;2;1166;1463
81328;57;14;1076;22;1150;0
81329;57;14;1076;22;1194;0
81345;66;6;1076;58;1179;0
81355;60;5;1076;61;1207;609
81364;62;14;1076;22;1200;0
81374;42;22;1076;2;1133;1834
81376;55;24;1076;3;1183;973
81386;14;5;1076;61;1176;973
81389;65;18;1076;1;1199;861
81391;64;49;1076;11;1196;0
81403;41;21;1076;60;1177;1267
81409;67;18;1076;1;1154;735
81410;67;18;1076;1;1206;735
81614;32;1;1076;62;1181;0
81616;63;1;1076;62;1170;0
82402;40;21;1078;60;1192;1848
82405;20;16;1078;23;1211;826
82408;31;29;1078;4;1208;1358
82410;15;29;1078;4;1184;1064
82411;15;29;1078;4;1215;1064
82414;6;32;1078;63;1217;1484
82416;34;5;1078;61;1175;679
82421;28;11;1078;8;1210;700
82422;28;15;1078;8;1210;700
82425;21;21;1078;60;1209;700
82429;3;14;1078;22;1136;0
82434;68;18;1078;1;1198;826
82437;58;14;1078;22;1149;0
82438;58;14;1078;22;1195;0
82442;36;21;1078;60;1182;826
82451;16;4;1078;2;1216;1190
82453;173;4;1078;2;1188;1190
82454;173;4;1078;2;1204;1190
82463;17;21;1078;60;1189;1120
82465;59;21;1078;60;1168;1064
82481;27;1;1078;62;1166;1421
82483;57;18;1078;1;1150;1120
82484;57;18;1078;1;1194;1120
82491;45;3;1078;13;1219;1421
82493;174;16;1078;23;1212;1190
82505;66;1;1078;62;1179;1421
82515;60;29;1078;4;1207;1967
82524;62;1;1078;62;1200;952
82525;62;1;1078;62;1214;952
82535;42;14;1078;22;1133;0
82538;55;11;1078;8;1183;1190
82539;55;15;1078;8;1183;1190
82547;14;27;1078;5;1176;756
82550;65;3;1078;13;1199;0
82552;64;6;1078;58;1196;0
82555;44;6;1078;58;1220;1967
82569;41;11;1078;8;1177;700
82570;41;15;1078;8;1177;700
82576;67;5;1078;61;1154;679
82577;67;5;1078;61;1206;679
82600;46;49;1078;11;1218;679
82777;32;11;1078;8;1181;1190
82778;32;15;1078;8;1181;1190
82780;63;5;1078;61;1170;1043
82797;NULL;3;1078;64;1231;NULL
82798;NULL;18;1078;1;1230;NULL
83196;40;11;1079;8;1192;1155
83197;40;15;1079;8;1192;1155
83200;20;49;1079;11;1211;735
83203;31;32;1079;63;1208;1155
83205;15;16;1079;23;1184;1078
83206;15;16;1079;23;1215;1078
83209;6;4;1079;2;1217;1155
83211;34;29;1079;4;1175;1456
83214;28;1;1079;62;1210;714
83217;21;27;1079;5;1209;658
83221;3;21;1079;60;1136;714
83226;68;24;1079;3;1198;1078
83229;58;27;1079;5;1149;791
83230;58;27;1079;5;1195;791
83234;36;14;1079;22;1182;0
83247;16;11;1079;8;1216;791
83248;16;15;1079;8;1216;791
83250;173;14;1079;22;1188;0
83251;173;14;1079;22;1204;0
83257;11;14;1079;22;1233;0
83261;17;4;1079;2;1189;1099
83263;59;49;1079;11;1168;1078
83266;7;1;1079;62;1230;735
83271;18;1;1079;62;1232;987
83279;27;16;1079;23;1166;987
83281;57;32;1079;63;1150;1099
83282;57;32;1079;63;1194;1099
83287;45;29;1079;4;1219;735
83289;174;5;1079;61;1212;987
83294;25;32;1079;63;1225;735
83301;13;11;1079;8;1231;987
83302;13;15;1079;8;1231;987
83307;66;11;1079;8;1179;987
83308;66;15;1079;8;1179;987
83318;60;4;1079;2;1207;1155
83323;54;5;1079;61;1222;1099
83328;62;18;1079;1;1200;1225
83329;62;18;1079;1;1214;1225
83339;42;32;1079;63;1133;497
83341;55;29;1079;4;1183;987
83349;14;22;1079;2;1176;2366
83352;65;5;1079;61;1199;735
83354;64;16;1079;23;1196;1757
83357;44;14;1079;22;1220;0
83367;41;6;1079;58;1177;0
83373;67;24;1079;3;1154;497
83374;67;24;1079;3;1206;497
83397;46;29;1079;4;1218;791
83574;32;22;1079;2;1181;0
83576;63;18;1079;1;1170;714
84375;40;51;1077;43;1192;0
84378;20;51;1077;43;1211;0
84381;31;53;1077;67;1208;0
84383;15;51;1077;65;1184;0
84384;15;51;1077;65;1215;0
84387;6;52;1077;44;1217;0
84389;34;52;1077;44;1175;0
84392;28;52;1077;66;1210;0
84395;21;52;1077;44;1209;0
84399;3;53;1077;67;1136;0
84404;68;52;1077;44;1198;0
84407;58;51;1077;43;1149;0
84408;58;51;1077;43;1195;0
84412;36;53;1077;45;1182;0
84421;16;52;1077;66;1216;0
84423;173;54;1077;46;1188;0
84424;173;54;1077;46;1204;0
84430;11;54;1077;46;1233;0
84434;17;54;1077;54;1189;0
84437;59;51;1077;43;1168;0
84440;7;54;1077;54;1230;0
84445;18;51;1077;47;1232;0
84453;27;54;1077;68;1166;0
84455;57;53;1077;45;1150;0
84456;57;53;1077;45;1194;0
84461;45;53;1077;45;1219;0
84463;174;51;1077;65;1212;0
84468;25;52;1077;48;1225;0
84473;13;52;1077;48;1231;0
84477;66;53;1077;45;1179;0
84480;51;54;1077;46;1223;0
84488;60;52;1077;66;1207;0
84493;54;51;1077;47;1222;0
84498;62;53;1077;49;1200;0
84499;62;53;1077;49;1214;0
84507;52;52;1077;48;1224;0
84510;42;53;1077;49;1133;0
84512;55;54;1077;46;1183;0
84520;14;53;1077;49;1176;0
84523;65;53;1077;67;1199;0
84525;64;54;1077;68;1196;0
84526;64;54;1077;68;1235;0
84529;44;54;1077;50;1220;0
84538;41;54;1077;50;1177;0
84544;67;54;1077;68;1154;0
84545;67;54;1077;68;1206;0
84568;46;53;1077;53;1218;0
84732;32;52;1077;52;1181;0
84734;63;53;1077;53;1170;0
84754;NULL;16;1079;23;1235;NULL
84763;40;29;1080;4;1192;1288
84766;20;1;1080;62;1211;777
84769;31;16;1080;23;1208;1141
84771;15;49;1080;11;1184;1050
84772;15;49;1080;11;1215;1050
84775;6;14;1080;22;1217;0
84777;34;22;1080;2;1175;2317
84780;28;5;1080;61;1210;721
84783;21;4;1080;2;1209;1162
84787;3;29;1080;4;1136;721
84792;68;29;1080;4;1198;1050
84795;58;5;1080;61;1149;777
84796;58;5;1080;61;1195;777
84800;36;32;1080;63;1182;777
84809;16;14;1080;22;1216;0
84811;173;32;1080;63;1188;924
84812;173;32;1080;63;1204;924
84818;11;27;1080;5;1233;777
84822;17;27;1080;5;1189;854
84825;59;18;1080;1;1168;854
84828;7;14;1080;22;1230;0
84833;18;49;1080;11;1232;854
84841;27;32;1080;63;1166;854
84843;57;29;1080;4;1150;777
84844;57;29;1080;4;1194;777
84849;45;16;1080;23;1219;777
84851;174;32;1080;63;1212;1162
84856;25;24;1080;3;1225;721
84861;13;32;1080;63;1231;798
84866;66;14;1080;22;1179;0
84869;51;16;1080;23;1223;777
84872;70;24;1080;3;1238;777
84878;60;16;1080;23;1207;1288
84883;54;4;1080;2;1222;1288
84888;62;22;1080;2;1200;2548
84889;62;22;1080;2;1214;2548
84897;52;24;1080;3;1224;798
84900;42;21;1080;60;1133;721
84902;55;5;1080;61;1183;798
84910;14;4;1080;2;1176;1218
84913;65;24;1080;3;1199;721
84916;64;11;1080;8;1196;1456
84917;64;15;1080;8;1196;1456
84918;64;11;1080;8;1235;1456
84919;64;15;1080;8;1235;1456
84924;44;11;1080;8;1220;560
84925;44;15;1080;8;1220;560
84935;41;5;1080;61;1177;777
84941;67;29;1080;4;1154;490
84942;67;29;1080;4;1206;490
84967;46;3;1080;13;1218;0
85149;32;5;1080;61;1181;721
85151;63;32;1080;63;1170;721
85163;71;1;1080;62;1239;0
85169;NULL;18;1080;1;1240;0
85559;73;49;1081;74;1223;1414
85561;146;18;1081;75;1207;2072
85563;36;18;1081;75;1231;0
85565;72;24;1081;3;1177;1050
85567;137;16;1081;1;1179;1414
85569;142;24;1081;3;1235;980
85571;135;21;1081;62;1170;588
85573;76;16;1081;1;1149;1176
85574;76;16;1081;1;1218;1176
85576;80;29;1081;4;1222;1778
85578;139;1;1081;73;1198;1414
85580;68;3;1081;69;1133;2149
85583;70;3;1081;69;1150;0
85585;82;14;1081;76;1255;0
